Name,Calories (kcal),Total fat (g),Saturated fat (g),Cholesterol (mg),Sodium (mg),Total carbohydrate (g),Dietary fiber (g),Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Concentrated fruit and vegetable (%),FNVL (%)
Orange juice,45,0.2,0,0,1,10,0.2,8.4,0.7,0,11,0.2,200,1,100,0
Tomato juice,17,0.3,0,0,253,3.5,0.4,2.6,0.9,0,10,0.4,217,1,100,0
Grape juice,60,0.1,0,0,5,15,0.2,14,0.4,0,11,0.3,104,1,100,0
Banana juice,80,2.3,0.9,5,38,13,1.1,9.5,2.9,0.8,79,0.2,225.6,1,100,0
Pineapple juice,53,0.1,0,0,2,13,0.2,10,0.4,0,13,0.3,130,1,100,0
Apple juice,46,0.1,0,0,4,11,0.2,9.6,0.1,0,8,0.1,101,1,100,0
Mango juice,51,0.1,0,0,5,13,0.3,12,0.1,0,17,0.4,24,1,100,0
Water,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0
Coffee,1,0,0,0,2,0,0,0,0.1,0,2,0,49,1,0,0
Decaf coffee,2,0,0,0,4,0.4,0,0,0.1,0,4,0,36,1,0,0
Tea,1,0,0,0,0,0.3,0,0,0,0,0,0,21,1,0,0
Green tea,1,0,0,0,1,0,0,0,0.2,0,0,0,8,1,0,0
Peach tea,30,0,0,0,2.9,7.7,0,7.4,0,0,0.1,0,34.4,1,0,0
Sweet tea,31,0,0,0,0.1,8,0,7.8,0,0,0.1,0,19.5,1,0,0
Lemon tea,1.2,0,0,0,0.3,0.4,0,0,0,0,0.1,0,22.2,1,0,0
Black tea,1,0,0,0,0,0.3,0,0,0,0,0,0,21,1,0,0
Ginger tea,1,0,0,0,1,0.2,0,0,0,0,2,0.1,9,1,0,0
Raspberry tea,34,0,0,0,0.1,8.8,0,8.5,0,0,0.1,0,19.4,1,0,0
Pomegranate tea,1,0,0,0,1,0.2,0,0,0,0,2,0.1,9,1,0,0
Soda,42,0.3,0,0,3,10,0,9.9,0,0,1,0,5,1,0,0
Pepsi soda,42,0.3,0,0,3,10,0,9.9,0,0,1,0,5,1,0,0
Sprite soda,41,0,0,0,10,10,0,10,0.1,0,2,0,1,1,0,0
Orange soda,48,0,0,0,12,12,0,0,0,0,5,0.1,2,1,0,0
Soda coca cola,42,0.3,0,0,3,10,0,9.9,0,0,1,0,5,1,0,0
Diet soda,2,0,0,0,8,0.3,0,0,0.1,0,3,0.1,8,1,0,0
Lemonade,40,0,0,0,4,10,0,10,0.1,0,4,0.2,15,1,80,0
Limeade,52,0,0,0,3,14,0,13,0,0,2,0,10,1,80,0
Jelly,266,0,0,0,30,70,1,51,0.2,0,7,0.2,54,1,0,0
Soy milk,41,1.7,0.2,0,49,3.3,0.4,2.5,2.9,1.2,123,0.4,123,1,100,0
Almond milk,23,1,0.1,0,3.9,3.2,0.3,2.9,0.4,0,8.3,0.1,14.8,1,100,0
Hazelnut milk,46,1.5,0.1,0,3.6,7.9,0.3,5.9,0.5,0,5.9,0.1,19.9,1,100,0
Coconut milk,197,21,19,0,13,2.8,0,0,2,0,18,3.3,220,1,0,0
Espresso,9,0.2,0.1,0,14,1.7,0,0,0.1,0,2,0.1,115,1,0,0
Soy latte,36,1.3,0.2,0,35,3.8,0.3,2.5,2.1,1,105,0.4,121.9,1,0,0
Chai latte,66,1.2,0.7,4.6,30,12,0.3,8.7,2,0.6,78,0.1,105.2,1,0,0
Almond milk latte,21,0.9,0.1,0,5.2,3,0.2,2.5,0.4,0,7.4,0.1,28.5,1,0,0
Hazelnut latte,58,1.6,1,6.3,39,8.4,0,8.4,2.6,0.9,94,0,129.6,1,0,0
Milk,50,2,1.3,8,47,4.8,0,5.1,3.3,1.2,120,0,140,1D,0,0
Milkshake,119,2.7,1.7,11,111,21,0.3,21,3.1,1,132,0.3,224,1D,0,0
Oreo milkshake,139,4.3,2.2,11,118,22,0.2,20,4,1.1,136,1,187,1D,0,0
Vanilla milkshake,112,3,1.9,12,95,18,0,18,3.9,1.2,146,0.1,183,1D,0,0
Chocolate milkshake,119,2.7,1.7,11,111,21,0.3,21,3.1,1,132,0.3,224,1D,0,0
Strawberry milkshake,113,2.8,1.7,11,83,19,0.4,0,3.4,0,113,0.1,182,1D,0,0
Chocolate milk,83,3.4,2.1,12,60,10,0.8,9.5,3.2,1.3,112,0.2,167,1D,0,0
Vietnamese coffee,66,1.8,1.1,7,27,11,0,11,1.7,0,60,0.1,99.5,1D,0,0
Latte,44,1.7,1.1,6.9,42,4.4,0,4.4,2.9,1,104,0,136.5,1D,0,0
Mocha latte,88,3.2,2,12,51,12,0.3,5.6,3.3,0.9,115,0.3,167.3,1D,0,0
Nonfat latte,31,0.1,0.1,1.7,38,4.5,0,4.4,2.9,1,105,0,150.3,1D,0,0
Milk tea,30,1.3,0.8,4,17,3.5,0,3.4,1.3,0.5,45,0,65.3,1D,0,0
Boba tea,48,0.1,0.1,0.4,3.3,12,0.1,3.9,0.2,0.1,9,0.2,18.3,1D,0,0
Condensed milk,321,8.7,5.5,34,127,54,0,54,7.9,0.2,284,0.2,371,1D,0,0
Hot chocolate,55,0.6,0.3,0,73,12,0.5,9,0.9,0,21,0.2,99,1D,0,0
Smoothie,80,0.8,0.5,2.5,29,17,1.4,12,2.7,0,80,0.2,269.5,1D,0,0
Banana smoothie,86,1.1,0.6,3.9,27,18,1.2,11,2.2,0.5,68,0.2,251.4,1D,0,60
Strawberry smoothie,90,0.7,0.4,2.7,43,17,0.3,16,3.2,0.4,111,0.1,169.8,1D,0,60
